TStamp Europe/Zagreb	X [µT]	Y [µT]	Z [µT]
1613949333406	-23.510000	16.320000	-36.119999
1613949333425	-23.219999	16.260000	-36.230000
1613949333445	-22.920000	16.740000	-36.540001
1613949333465	-22.850000	17.209999	-36.590000
1613949333485	-22.680000	17.209999	-36.299999
1613949333505	-22.320000	16.920000	-36.540001
1613949333525	-22.020000	16.980000	-36.590000
1613949333545	-22.080000	17.340000	-36.590000
1613949333565	-21.719999	17.520000	-36.660000
1613949333586	-21.420000	17.870001	-36.590000
1613949333606	-21.350000	17.820000	-36.410000
1613949333626	-21.350000	17.760000	-36.360001
1613949333646	-21.420000	17.760000	-36.360001
1613949333666	-21.420000	17.870001	-36.540001
1613949333686	-21.600000	18.110001	-36.540001
1613949333706	-21.299999	17.940001	-36.360001
1613949333726	-21.180000	17.870001	-36.410000
1613949333746	-21.350000	17.870001	-36.590000
1613949333766	-21.350000	17.760000	-36.709999
1613949333785	-21.120001	17.760000	-36.660000
1613949333805	-20.879999	17.870001	-36.709999
1613949333825	-20.820000	18.059999	-36.660000
1613949333845	-20.820000	17.870001	-36.590000
1613949333866	-20.879999	17.870001	-36.590000
1613949333886	-21.120001	17.820000	-36.360001
1613949333906	-21.120001	17.639999	-36.410000
1613949333926	-21.180000	18.059999	-36.590000
1613949333945	-21.299999	17.940001	-36.540001
1613949333966	-20.879999	17.520000	-36.299999
1613949333985	-20.879999	17.639999	-36.119999
1613949334005	-20.760000	17.639999	-36.230000
1613949334025	-21.000000	17.760000	-36.230000
1613949334045	-20.700001	17.820000	-36.360001
1613949334066	-20.700001	18.110001	-36.299999
1613949334086	-20.820000	17.870001	-36.119999
1613949334105	-20.700001	17.870001	-36.410000
1613949334125	-21.000000	18.110001	-36.590000
1613949334146	-21.059999	17.940001	-36.840000
1613949334166	-21.180000	18.059999	-36.590000
1613949334186	-20.879999	17.870001	-36.590000
1613949334206	-20.879999	17.760000	-36.540001
1613949334226	-20.760000	17.639999	-36.410000
1613949334246	-20.700001	17.639999	-36.299999
1613949334266	-21.000000	17.820000	-36.119999
1613949334286	-20.879999	17.870001	-36.230000
1613949334305	-20.879999	17.870001	-36.000000
1613949334325	-20.879999	17.820000	-36.299999
1613949334346	-21.120001	17.870001	-36.360001
1613949334365	-21.120001	18.350000	-36.410000
1613949334386	-21.059999	18.350000	-36.360001
1613949334406	-21.000000	18.420000	-36.540001
1613949334425	-20.760000	18.530001	-36.540001
1613949334445	-20.700001	18.350000	-36.299999
1613949334465	-20.760000	18.530001	-36.540001
1613949334485	-20.760000	18.530001	-36.299999
1613949334506	-20.700001	18.660000	-36.360001
1613949334526	-20.580000	18.240000	-36.299999
1613949334546	-20.820000	18.240000	-36.540001
1613949334565	-20.820000	18.059999	-36.540001
1613949334585	-21.000000	18.059999	-36.709999
1613949334605	-21.180000	18.110001	-37.139999
1613949334625	-21.120001	17.820000	-36.840000
1613949334646	-21.000000	17.820000	-37.020000
1613949334666	-20.760000	17.820000	-36.959999
1613949334686	-21.059999	18.059999	-37.250000
1613949334706	-20.879999	18.059999	-37.250000
1613949334726	-20.760000	18.350000	-37.250000
1613949334745	-20.580000	18.180000	-37.139999
1613949334765	-20.450001	18.110001	-37.020000
1613949334785	-20.520000	18.110001	-37.139999
1613949334805	-20.400000	18.350000	-36.889999
1613949334826	-20.580000	18.480000	-36.889999
1613949334845	-20.520000	18.240000	-36.590000
1613949334865	-20.580000	18.180000	-36.360001
1613949334885	-20.580000	17.940001	-36.299999
1613949334905	-20.760000	18.059999	-36.230000
1613949334925	-20.760000	18.180000	-36.049999
1613949334945	-20.520000	18.350000	-36.230000
1613949334966	-20.820000	18.059999	-36.299999
1613949334986	-20.760000	17.760000	-36.230000
1613949335006	-20.879999	17.870001	-36.230000
1613949335026	-21.000000	17.760000	-36.000000
1613949335046	-21.059999	17.870001	-36.049999
1613949335066	-21.059999	17.940001	-36.049999
1613949335086	-21.299999	18.059999	-36.230000
1613949335106	-21.480000	18.059999	-36.119999
1613949335126	-21.299999	17.940001	-36.049999
1613949335146	-21.299999	18.240000	-36.049999
1613949335166	-21.180000	18.240000	-36.119999
1613949335186	-21.059999	18.530001	-36.540001
1613949335205	-21.000000	18.480000	-36.360001
1613949335225	-21.000000	18.240000	-36.360001
1613949335245	-21.000000	18.110001	-36.299999
1613949335265	-21.000000	17.940001	-36.360001
1613949335285	-21.299999	17.940001	-36.590000
1613949335305	-21.480000	17.870001	-36.660000
1613949335325	-21.480000	17.940001	-36.590000
1613949335345	-21.480000	17.820000	-36.540001
1613949335365	-21.600000	17.820000	-36.590000
1613949335385	-21.600000	17.820000	-36.540001
1613949335405	-21.480000	17.870001	-36.660000
1613949335425	-21.420000	17.940001	-36.660000
1613949335445	-20.879999	18.110001	-36.840000
1613949335465	-20.760000	18.110001	-36.889999
1613949335486	-20.700001	17.870001	-36.709999
1613949335506	-20.760000	17.940001	-36.840000
1613949335525	-20.760000	18.110001	-36.889999
1613949335545	-20.700001	18.110001	-37.020000
1613949335565	-20.450001	17.940001	-36.840000
1613949335585	-20.400000	17.820000	-36.889999
1613949335605	-20.820000	17.580000	-36.540001
1613949335625	-20.760000	17.580000	-36.540001
1613949335646	-20.700001	17.450001	-36.590000
1613949335666	-20.580000	17.520000	-36.360001
1613949335686	-20.580000	17.639999	-36.540001
1613949335706	-20.700001	17.760000	-36.410000
1613949335725	-20.700001	17.870001	-36.540001
1613949335746	-20.879999	18.420000	-36.840000
1613949335766	-20.820000	18.770000	-36.959999
1613949335786	-20.700001	18.770000	-36.959999
1613949335806	-20.700001	18.950001	-36.840000
1613949335826	-20.580000	18.840000	-36.959999
1613949335845	-20.450001	18.660000	-36.840000
1613949335865	-20.450001	18.530001	-36.709999
1613949335885	-20.520000	18.420000	-36.660000
1613949335905	-20.450001	18.180000	-36.360001
1613949335926	-20.520000	17.940001	-36.230000
1613949335946	-20.700001	18.059999	-36.119999
1613949335966	-20.879999	18.240000	-36.410000
1613949335985	-21.059999	18.240000	-36.410000
